node,year_construction,capacity_existing
CH,1994.0,0.00015
CH,2004.0,0.0006
CH,2005.0,0.00385
CH,2008.0,0.002
CH,2009.0,0.004
CH,2010.0,0.0269
CH,2011.0,0.0092
CH,2012.0,0.006
CH,2013.0,0.0103
CH,2016.0,0.0132
CH,2020.0,0.01175
DE,1991.0,0.004
DE,1992.0,0.003175
DE,1993.0,0.0575
DE,1994.0,0.0927
DE,1995.0,0.14712
DE,1996.0,0.1117099999999999
DE,1997.0,0.26641
DE,1998.0,0.44144
DE,1999.0,1.27716
DE,2000.0,1.48307
DE,2001.0,2.763816
DE,2002.0,2.9381
DE,2003.0,3.04928
DE,2004.0,2.0497
DE,2005.0,1.9832
DE,2006.0,2.6417
DE,2007.0,1.73876
DE,2008.0,1.23492
DE,2009.0,2.2455
DE,2010.0,1.43238
DE,2011.0,1.5794
DE,2012.0,1.77596
DE,2013.0,1.94895
DE,2014.0,4.25797
DE,2015.0,4.0974200000000005
DE,2016.0,4.50998
DE,2017.0,5.07811
DE,2018.0,2.66793
DE,2019.0,1.0257
DE,2020.0,1.38198
DE,2021.0,1.93001
